track_id,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
1UyDQh3HBJwL6IxR9mXipZ,DREAMDNVR,dark r&b,0.708,0.42,9,-9.478,0,0.121,0.471,0,0.353,0.317,145.981,175827,3734865
38umMmZQdeoOG7Zojor4g3,keshi,chill r&b,0.536,0.659,6,-9.732,1,0.0483,0.406,0.004,0.107,0.199,170.035,171020,171018
3ZWHzPucGUZvgNleqllzdK,Jessie Reyez,canadian contemporary r&b,0.514,0.749,8,-4.336,1,0.403,0.234,7.98E-05,0.19,0.416,179.623,169240,187423
1aqP9g3lLR8bpFtkCTm41N,KUTE,aggressive phonk,0.627,0.993,1,-1.304,1,0.0714,0.00142,0.254,0.239,0.58,109.975,131455,262699
5FX30idriKlEIRYTxpNf65,KUTE,aggressive phonk,0.656,0.964,6,-2.087,0,0.0964,0.123,0.813,0.78,0.965,114.007,105789,800336
7dXyRgDZlQnA5OU1SPD1oe,KUTE,aggressive phonk,0.706,0.933,10,-0.096,1,0.0721,0.11,0.878,0.058,0.761,114.042,120000,40239
4LtSTc3xANVhYeeN69nscM,The Local Train,hindi indie,0.464,0.391,6,-9.884,1,0.0384,0.755,9.64E-05,0.105,0.418,106.887,233472,2540803
0gbNOv3x5M87aczFOIEzfp,Sirazee,himachali pop,0.613,0.551,9,-8.613,1,0.198,0.113,0,0.266,0.482,110.243,142410,27373
3fB2jhxOmwMsTxCYpjYjd4,Bhikhari Bala,odia bhajan,0.328,0.571,1,-6.913,1,0.0395,0.654,1.15E-05,0.27,0.654,186.602,313748,57728
,Master Saleem,,,,,,,,,,,,,,436164
65jpYG7TQCh0T7TtKO4Rjj,Vishal Mishra,desi pop,0.581,0.304,1,-9.707,0,0.0274,0.886,2.79E-05,0.103,0.0973,109.006,241206,1793602
,It's DPK,,,,,,,,,,,,,,39562
0muXl7VdnqjsMH3IDS2JFI,Vishal Mishra,desi pop,0.307,0.265,1,-14.701,0,0.0497,0.561,0.000517,0.398,0.0569,94.115,217976,76002
75Ak0cit8hV604Wjlq1gf2,Imran Khan,desi hip hop,0.639,0.594,10,-6.497,1,0.0347,0.131,0,0.119,0.378,80.034,232067,2400332
2uiAZVVKqqYlM6KM9POTYq,Suman Kalyanpur,classic bollywood,0.556,0.792,9,-10.683,1,0.0715,0.858,0.007,0.596,0.776,98.554,309493,205800
,Neha Kakkar,,,,,,,,,,,,,,212741
16XEVyPh5NT31CAAqPbxQF,Jatin-Lalit,afghan pop,0.792,0.635,7,-13.94,0,0.0863,0.349,5.92E-06,0.324,0.648,122.004,422713,173287
35Rrbt58ADLxyo1lu7xhZu,Himesh Reshammiya,filmi,0.69,0.78,8,-7.412,0,0.0489,0.117,0,0.0696,0.718,110.963,333653,333653
,Music Circle,,,,,,,,,,,,,,535692
06zJUeKU5KFy50Cho6pDcr,Arijit Singh,filmi,0.549,0.437,10,-7.169,0,0.0263,0.766,0.000407,0.133,0.236,93.976,214470,58231
0d54B7VI12WOMK8AoIWllf,KK,filmi,0.561,0.709,9,-10.247,1,0.0484,0.232,0,0.0992,0.509,115.006,260142,210952
4vQ0PCcy5uPJBgLxCKarKK,KK,filmi,0.417,0.134,9,-12.096,1,0.0321,0.979,9.61E-05,0.101,0.381,83.176,72292,85681
5j7pU3PrmdKix8kkvPpBzE,Arijit Singh,filmi,0.616,0.757,8,-5.877,0,0.0337,0.393,0.00267,0.165,0.538,96.976,302658,2166765
5OWUUF8uJOr0VtA7akVmHX,KK,filmi,0.558,0.746,7,-6.338,0,0.0389,0.0852,0.000302,0.258,0.342,120.096,257280,173573
4y5mqhrI0tdYI4M3EFluxP,Sonu Nigam,filmi,0.68,0.524,5,-12.536,1,0.0306,0.161,0.0015,0.101,0.577,100.054,385253,10264
1tKhy83q8OsdcpZaX9N4Z2,KK,filmi,0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,342669,342664
73y649QhnXdcm6fRdvfraO,Ajay-Atul,filmi,0.334,0.387,2,-9.483,1,0.0332,0.755,3.94E-05,0.113,0.42,129.959,364787,745640
2oaKoKA8bvgWfBi9M8wEVJ,Asha Bhosle,chutney,0.569,0.31,3,-13.287,1,0.0371,0.79,0,0.341,0.587,97.244,258387,255026
,Uttam Singh,,,,,,,,,,,,,,198270
4XII12nbsvJblXfG1I2QR4,MARINA,metropopolis,0.636,0.758,0,-5.567,1,0.0427,0.331,1.01E-05,0.16,0.281,97.025,214107,790321
4pUWMIfXJqRkLgJeEwvqxu,Foreign Forest,emo rap,0.727,0.486,8,-8.364,1,0.0325,0.568,0,0.0889,0.362,118.038,252203,252203
1Dd2TFOUfL1tYMw53a8VJK,Lund,cloud rap,0.577,0.553,4,-7.648,0,0.0479,0.1,0,0.21,0.0546,145.974,174247,369832
0fxglD52oLxhKpVv2od1x9,Kailash Kher,filmi,0.611,0.512,11,-12.533,0,0.0361,0.3,0.000851,0.219,0.263,99.987,393220,18983
03hLe0OA5UuP7VXr4VYURD,Michiel Schrey,shanty,0.516,0.482,7,-6.04,1,0.0421,0.579,0,0.307,0.368,170.178,113973,112503
5ZJFJKB0laSPFLEYj7S8cA,Player1,,0.574,0.647,9,-6.497,0,0.0618,0.428,0,0.124,0.294,145.033,189103,1067034
4ynpVFc18s3FxPEkJd5xZq,Lauv,pop,0.651,0.688,6,-4.407,1,0.109,0.354,2.57E-06,0.0741,0.616,95.017,206368,80290
1SZnu0wclsSROTitZPP4Yf,Kurt Stewart,lo-fi study,0.587,0.0548,6,-22.15,0,0.0345,0.616,0.827,0.0999,0.233,109.905,124174,124173
4AOPgMrdBlaLFF5dxzIhdx,Sasha Alex Sloan,alt z,0.607,0.849,8,-6.389,1,0.0444,0.174,2.03E-05,0.0964,0.487,89.988,184253,367079
,Arijit Singh,,,,,,,,,,,,,,20796
5eLjgK8JT276Xs8500KdEn,Fiji Blue,chill pop,0.827,0.49,10,-8.37,0,0.055,0.321,0.000137,0.095,0.836,113.002,174211,174949
1rEVydQSe04NJUqyyEyeEq,Pritam,filmi,0.84,0.884,0,-3.217,1,0.334,0.427,0,0.0885,0.972,118.007,224207,225637
7brQHA2CgQpcMBiOlfiXYb,The Neighbourhood,modern alternative rock,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,764280
1UbDqlLHBY7SxKVamO6hqJ,Hans Zimmer,german soundtrack,0.245,0.00336,9,-38.793,0,0.0451,0.92,0.0234,0.119,0.0505,119.949,152673,1311152
2374M0fQpWi3dLnB54qaLX,TOTO,album rock,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,295893,2318675
4A9g0WVvFYjJftYWWXXxP7,Elton John,glam rock,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,208715,1954901
5NSr0xa9Qf4J8xKzDnC0uq,Slushii,brostep,0.418,0.965,10,-2.417,0,0.163,0.0477,3.88E-06,0.561,0.28,139.759,178519,178438
0mpLgvlW0tztoBGKzfLRNr,Aimer,anime,0.653,0.783,10,-3.859,1,0.0298,0.00949,0,0.0791,0.636,119.992,292760,292600
3cfnGXJ9bmiWvFqEO6ff8B,"Earth, Wind & Fire",disco,0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,278040,278002
0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,pop,0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,185487,34603
1mypcM1775ZWFTUVHx6duy,Leroy Sanchez,channel pop,0.659,0.273,11,-6.352,1,0.0285,0.823,0,0.121,0.292,110.171,186000,372000
1MEZDVBm70AGVtvLLgskr8,Ewan J Phillips,british singer-songwriter,0.342,0.279,1,-11.252,1,0.0376,0.521,0.00053,0.157,0.235,71.766,227778,227777
7pHECccR6FiKZqFhjULGbB,Sasha Alex Sloan,alt z,0.62,0.553,2,-10.228,0,0.0517,0.778,0.00191,0.0916,0.632,148.978,194375,397451
70fZer3o9XX9FEusMdyjY3,Fly By Midnight,singer-songwriter pop,0.728,0.694,1,-5.634,1,0.0645,0.188,0.000876,0.149,0.574,101.985,169412,3216667
5axz8UbmqJO9Yr0w8eMKUe,RADWIMPS,j-pop,0.2,0.318,5,-11.267,1,0.0449,0.925,0.894,0.114,0.0465,119.593,143253,1496410
4OPBWPAQ98zh7jBaXyimlo,Alka Yagnik,filmi,0.654,0.408,3,-12.787,1,0.0695,0.743,0.0145,0.278,0.424,95.957,261060,341076
3mJnrwJ6RsdrxMNV92bQ1N,Pritam,filmi,0.658,0.852,0,-3.07,1,0.044,0.000223,0.863,0.101,0.409,140.024,277950,27455
,Phineas,,,,,,,,,,,,,,6653798
03IjhYX3PKr6DWsGo2rD82,Central Cee,melodic drill,0.897,0.728,0,-5.833,0,0.167,0.594,0,0.0735,0.678,139.895,138121,2440
3f4Iil1Tm7uyA1E0J0Eu4C,André Rieu,easy listening,0.157,0.378,2,-14.792,1,0.0389,0.674,0.914,0.136,0.144,141.592,301320,26583637
6lV2MSQmRIkycDScNtrBXO,B.o.B,atl hip hop,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,180480,928683
